word,sentence,pair,re-sentence
famous,"What are these, like famous chickens?",renowned,"What are these, like renowned chickens?"
right,"Uh, I don't know. Why don't you put it right here next to my water?",correct,"Uh, I don't know. Why don't you put it correct here next to my water?"
big,"Monica's big night, she shouldn't pay. ",large,"Monica's large night, she shouldn't pay."
cold,"I'm sorry, Monica, I'm really happy you got promoted, but cold cucumber mush for thirty-something bucks? No! Rachel just had that, that, that salad, and, and Joey with his like teeny pizza! It's just...",chilly,"I'm sorry, Monica, I'm really happy you got promoted, but chilly cucumber mush for thirty-something bucks? No! Rachel just had that, that, that salad, and, and Joey with his like teeny pizza! It's just..."
big,"Ok, Pheebs! How 'bout we'll each just pay for what we had. It's no big deal.",large,"Ok, Pheebs! How 'bout we'll each just pay for what we had. It's no large deal."
right,"Ok, look you guys, I really don't want to get into this right now. I think it'll just make everyone uncomfortable.",correct,"Ok, look you guys, I really don't want to get into this correct now. I think it'll just make everyone uncomfortable."
whole,"'Cause it's always somethin', you know, like Monica's new job, or the whole Ross's birthday hoopla.",entire,"'Cause it's always somethin', you know, like Monica's new job, or the entire Ross's birthday hoopla."
right,"I'm just gonna pass on the concert, 'cause I'm just not in a very Hootie place right now.",correct,"I'm just gonna pass on the concert, 'cause I'm just not in a very Hootie place correct now."
guess,"Well, I guess now we can't go.",estimate,"Well, I estimate now we can't go."
guess,"Well, I guess now we can't go.",speculate,"Well, I speculate now we can't go."
grab,Yeah. Just let me grab my jacket and tell you I had sex today.,seize,Yeah. Just let me seize my jacket and tell you I had sex today.
answer,I had sex today. I never have to answer that phone again.,reply,I had sex today. I never have to reply that phone again.
enjoy,You know what? I'm not gonna be able to enjoy this.,relish,You know what? I'm not gonna be able to relish this.
great,"You know, the guys are probably having a great time.",grand,"You know, the guys are probably having a grand time."
whole,"Uh, aside from that, the whole evening was pretty much a bust.",entire,"Uh, aside from that, the entire evening was pretty much a bust."
whole,"Yeah, look, we were just saying, this whole thing is really stupid.",entire,"Yeah, look, we were just saying, this entire thing is really stupid."
guess,"Oh! I can't believe it. I can't believe this. We're just like, sitting at home, trying to guess Joey's fingers, and you guys are out like partying and having fun, and you know, all, ""hey, Blowfish, suck on my neck"".",estimate,"Oh! I can't believe it. I can't believe this. We're just like, sitting at home, trying to estimate Joey's fingers, and you guys are out like partying and having fun, and you know, all, ""hey, Blowfish, suck on my neck""."
guess,"Oh! I can't believe it. I can't believe this. We're just like, sitting at home, trying to guess Joey's fingers, and you guys are out like partying and having fun, and you know, all, ""hey, Blowfish, suck on my neck"".",speculate,"Oh! I can't believe it. I can't believe this. We're just like, sitting at home, trying to speculate Joey's fingers, and you guys are out like partying and having fun, and you know, all, ""hey, Blowfish, suck on my neck""."
hard,I don't know what to say. I'm sorry that we make more money than you. But we're not gonna feel guilty about it. We work really hard for it. ,difficult,I don't know what to say. I'm sorry that we make more money than you. But we're not gonna feel guilty about it. We work really difficult for it.
whole,"Leon, Leon. Shhh! Guys. Wait, I don't understand. Those steaks were just a gift from the meat vendor. That was not a kick back. I'll just replace them and we can forget the whole thing. What corporate policy? No. Yeah. All right. I just got fired.",entire,"Leon, Leon. Shhh! Guys. Wait, I don't understand. Those steaks were just a gift from the meat vendor. That was not a kick back. I'll just replace them and we can forget the entire thing. What corporate policy? No. Yeah. All right. I just got fired."
gift,"Leon, Leon. Shhh! Guys. Wait, I don't understand. Those steaks were just a gift from the meat vendor. That was not a kick back. I'll just replace them and we can forget the whole thing. What corporate policy? No. Yeah. All right. I just got fired.",present,"Leon, Leon. Shhh! Guys. Wait, I don't understand. Those steaks were just a present from the meat vendor. That was not a kick back. I'll just replace them and we can forget the whole thing. What corporate policy? No. Yeah. All right. I just got fired."
end,"Ok, all right. We want to hear everything. Monica, get the wine and unplug the phone. Rachel, does this end well or do we need to get tissues?",conclude,"Ok, all right. We want to hear everything. Monica, get the wine and unplug the phone. Rachel, does this conclude well or do we need to get tissues?"
hard,"All right, check out this bad boy. 12 megabytes of ram. 500 megabyte hard drive. Built-in spreadsheet capabilities and a modem that transmits at over 28,000 b.p.s.",difficult,"All right, check out this bad boy. 12 megabytes of ram. 500 megabyte difficult drive. Built-in spreadsheet capabilities and a modem that transmits at over 28,000 b.p.s."
great,"Yeah, it was, but...I get home, ok, and I see Julie's saline solution on my night table. And I'm thinking to myself, oh my god, what the hell am I doing? I mean, here I am, I am with Julie, this incredible, great woman, who I care about and who cares about me, and I'm like, what, am I just gonna throw all that away?",grand,"Yeah, it was, but...I get home, ok, and I see Julie's saline solution on my night table. And I'm thinking to myself, oh my god, what the hell am I doing? I mean, here I am, I am with Julie, this incredible, grand woman, who I care about and who cares about me, and I'm like, what, am I just gonna throw all that away?"
right,"But, we're thinking, given the right marketing, we can make Thanksgiving the Mockolate holiday.",correct,"But, we're thinking, given the correct marketing, we can make Thanksgiving the Mockolate holiday."
complete,"I don't know what to do. What am I gonna do? I mean, this, this is like a complete nightmare.",finish,"I don't know what to do. What am I gonna do? I mean, this, this is like a finish nightmare."
gorgeous,"Oh, I know. This must be so hard. Oh, no. Two women love me. They're both gorgeous and sexy. My wallet's too small for my fifties, and my diamond shoes are too tight.",beautiful,"Oh, I know. This must be so hard. Oh, no. Two women love me. They're both beautiful and sexy. My wallet's too small for my fifties, and my diamond shoes are too tight."
guess,"I don't know. I mean, all right, I guess you can say she's a little spoiled sometimes.",estimate,"I don't know. I mean, all right, I estimate you can say she's a little spoiled sometimes."
guess,"I don't know. I mean, all right, I guess you can say she's a little spoiled sometimes.",speculate,"I don't know. I mean, all right, I speculate you can say she's a little spoiled sometimes."
common,"And I guess, you know, sometimes, she's a little ditzy, you know. And I've seen her be a little too into her looks. Oh, and Julie and I, we have a lot in common 'cause we're both paleontologists, but Rachel's just a waitress.",usual,"And I guess, you know, sometimes, she's a little ditzy, you know. And I've seen her be a little too into her looks. Oh, and Julie and I, we have a lot in usual 'cause we're both paleontologists, but Rachel's just a waitress."
right,"Yes, it was horrible. She cried. I cried. She threw things, they hit me. Anyway, I did the right thing.",correct,"Yes, it was horrible. She cried. I cried. She threw things, they hit me. Anyway, I did the correct thing."
whole,That's it? That's all you wrote? You're the worst writer in the whole world.,entire,That's it? That's all you wrote? You're the worst writer in the entire world.
funny,"All right, you know what? This isn't funny anymore. There's something about me on that piece of paper and I want to see it.",humorous,"All right, you know what? This isn't humorous anymore. There's something about me on that piece of paper and I want to see it."
great,"You know, that's true. You'd be a great person to have around the day after an emergency.",grand,"You know, that's true. You'd be a grand person to have around the day after an emergency."
guess,"Well, then, I guess that's the difference between us. See, I'd never make a list.",estimate,"Well, then, I estimate that's the difference between us. See, I'd never make a list."
guess,"Well, then, I guess that's the difference between us. See, I'd never make a list.",speculate,"Well, then, I speculate that's the difference between us. See, I'd never make a list."
find,"The next one's dedicated to Rachel from Ross. Rachel, he wants you to know he's deeply sorry for what he did and he hopes you can find it in your heart to forgive him.  ",locate,"The next one's dedicated to Rachel from Ross. Rachel, he wants you to know he's deeply sorry for what he did and he hopes you can locate it in your heart to forgive him."
different,"Does anyone have one from a different paper? Ross, read yours.",distinct,"Does anyone have one from a distinct paper? Ross, read yours."
awful,You know what? It seems like you've been making an awful lot of stuff Irish lately.,terrible,You know what? It seems like you've been making an terrible lot of stuff Irish lately.
hard,"Well, I would make them Belgian, but the waffles are hard to get into that flask.",difficult,"Well, I would make them Belgian, but the waffles are difficult to get into that flask."
guess,"OK, I guess this is gonna seem kinda bittersweet now, but... Joey, that's who.",estimate,"OK, I estimate this is gonna seem kinda bittersweet now, but... Joey, that's who."
guess,"OK, I guess this is gonna seem kinda bittersweet now, but... Joey, that's who.",speculate,"OK, I speculate this is gonna seem kinda bittersweet now, but... Joey, that's who."
buy,"I needed to buy a hammer the other night, and I'm out walkin' around the neighborhood but apparently there are no hardware stores open past midnight in the Village.",purchase,"I needed to purchase a hammer the other night, and I'm out walkin' around the neighborhood but apparently there are no hardware stores open past midnight in the Village."
clean,"Hi Russ, I've just got two more tables to clean and then we'll go, OK?",tidy,"Hi Russ, I've just got two more tables to tidy and then we'll go, OK?"
friend,"Are you a, uh, friend of Rachel's?",companion,"Are you a, uh, companion of Rachel's?"
friend,"Yes, yes I am. Are you a, uh, a friend of Rachel's?",companion,"Yes, yes I am. Are you a, uh, a companion of Rachel's?"
different,See? They're as different as night and... later that night.,distinct,See? They're as distinct as night and... later that night.
guess,"Well, I guess I could sleep with her... I mean, how could I do that?",estimate,"Well, I estimate I could sleep with her... I mean, how could I do that?"
guess,"Well, I guess I could sleep with her... I mean, how could I do that?",speculate,"Well, I speculate I could sleep with her... I mean, how could I do that?"
big,"Y'know, maybe this isn't such a big deal. Y'know, I mean, the way that I see it is you get a great job and you get to have sex. Y'know, I mean, throw in a tree and a fat guy and you've got Christmas.",large,"Y'know, maybe this isn't such a large deal. Y'know, I mean, the way that I see it is you get a great job and you get to have sex. Y'know, I mean, throw in a tree and a fat guy and you've got Christmas."
great,"Y'know, maybe this isn't such a big deal. Y'know, I mean, the way that I see it is you get a great job and you get to have sex. Y'know, I mean, throw in a tree and a fat guy and you've got Christmas.",grand,"Y'know, maybe this isn't such a big deal. Y'know, I mean, the way that I see it is you get a grand job and you get to have sex. Y'know, I mean, throw in a tree and a fat guy and you've got Christmas."
great,"No, I don't even think he knew. Hey, would you sleep with somebody to get a great job?",grand,"No, I don't even think he knew. Hey, would you sleep with somebody to get a grand job?"
find,"Oh no no, this is not for him, this is for me. That way he's still sober but I find his stories about shoelaces much more amusing.",locate,"Oh no no, this is not for him, this is for me. That way he's still sober but I locate his stories about shoelaces much more amusing."
hard,This is really hard for me to say.,difficult,This is really difficult for me to say.
right,"Look, I am just not strong enough to be in a codependent relationship right now, OK?",correct,"Look, I am just not strong enough to be in a codependent relationship correct now, OK?"
guess,"I guess you guys heard, Rachel dumped me.",estimate,"I estimate you guys heard, Rachel dumped me."
guess,"I guess you guys heard, Rachel dumped me.",speculate,"I speculate you guys heard, Rachel dumped me."
guess,"Um, oh, I don't know. I mean, it's definitely weird not being with Ross, but I guess I'm doing OK. Actually I've got some of his stuff that he, um....",estimate,"Um, oh, I don't know. I mean, it's definitely weird not being with Ross, but I estimate I'm doing OK. Actually I've got some of his stuff that he, um...."
guess,"Um, oh, I don't know. I mean, it's definitely weird not being with Ross, but I guess I'm doing OK. Actually I've got some of his stuff that he, um....",speculate,"Um, oh, I don't know. I mean, it's definitely weird not being with Ross, but I speculate I'm doing OK. Actually I've got some of his stuff that he, um...."
accident,"Yes! Carol and Susan's caterer had a mountain bike accident this weekend, and she's in a full body cast.",mishap,"Yes! Carol and Susan's caterer had a mountain bike mishap this weekend, and she's in a full body cast."
close,"They love each other, and they wanna celebrate that love with the people that are close with them.",near,"They love each other, and they wanna celebrate that love with the people that are near with them."
right,"No, I'm on right after this guy shoots himself.",correct,"No, I'm on correct after this guy shoots himself."
big,"It's like, you got so many lines to learn so fast, that sometimes you need a minute to remember your next one. So while you're thinkin' of it, you take this big pause where you look all intense, you know, like this. ",large,"It's like, you got so many lines to learn so fast, that sometimes you need a minute to remember your next one. So while you're thinkin' of it, you take this large pause where you look all intense, you know, like this."
discuss,I'm afraid the situation is much worse than we expected. Your sister is suffering from a..subcranial hematoma. Perhaps we can discuss this over coffee.,debate,I'm afraid the situation is much worse than we expected. Your sister is suffering from a..subcranial hematoma. Perhaps we can debate this over coffee.
right,"All right, all right. ""Damnit Braverman, it's right there on the chart!""",correct,"All right, all right. ""Damnit Braverman, it's correct there on the chart!"""
big,"That's great. All right, I gotta get to work, I got a big dinosaur bone to inspect.",large,"That's great. All right, I gotta get to work, I got a large dinosaur bone to inspect."
decide,"God, this is so hard. I can't decide between lamb or duck.",determine,"God, this is so hard. I can't determine between lamb or duck."
guess,"Sweetie! So this is where you work? Oh, it's wonderful! Is it a living room? Is it a restaurant? Who can tell? But I guess that's the fun.",estimate,"Sweetie! So this is where you work? Oh, it's wonderful! Is it a living room? Is it a restaurant? Who can tell? But I estimate that's the fun."
guess,"Sweetie! So this is where you work? Oh, it's wonderful! Is it a living room? Is it a restaurant? Who can tell? But I guess that's the fun.",speculate,"Sweetie! So this is where you work? Oh, it's wonderful! Is it a living room? Is it a restaurant? Who can tell? But I speculate that's the fun."
big,"So, what do you think of my daughter in the apron with the big job?",large,"So, what do you think of my daughter in the apron with the large job?"
glad,"Yeah, well just be glad he's not playing a smaller instrument.",pleased,"Yeah, well just be pleased he's not playing a smaller instrument."
big,"I know. And Mom, I realize you and Daddy were upset when I didn't marry Barry and get the big house in the suburbs with all the security and everything, but this is just so much better for me, you know?",large,"I know. And Mom, I realize you and Daddy were upset when I didn't marry Barry and get the large house in the suburbs with all the security and everything, but this is just so much better for me, you know?"
fight,They didn't fight a lot?,combat,They didn't combat a lot?
chance,"Is there any chance that you can look at this as flattering? I mean, she's doing it because she wants to be more like you.",opportunity,"Is there any opportunity that you can look at this as flattering? I mean, she's doing it because she wants to be more like you."
funny,"You know, it's funny when my parents got divorced, they sent me to this shrink, and she told me that all kids have a tendency to blame themselves. But in your case it's actually kinda true.",humorous,"You know, it's humorous when my parents got divorced, they sent me to this shrink, and she told me that all kids have a tendency to blame themselves. But in your case it's actually kinda true."
regular,"No, that was his costume. See, he's actually an orthodontist, but he came as a regular dentist.",frequent,"No, that was his costume. See, he's actually an orthodontist, but he came as a frequent dentist."
guess,I guess I just figured of all people you would understand this.,estimate,I estimate I just figured of all people you would understand this.
guess,I guess I just figured of all people you would understand this.,speculate,I speculate I just figured of all people you would understand this.
right,"All right people, we're in trouble here. We've only got 12 hours and 36 minutes left. Move, move, move!",correct,"All correct people, we're in trouble here. We've only got 12 hours and 36 minutes left. Move, move, move!"
whole,"I mean, I knew they were having trouble with this whole thing, but they're my parents. They're supposed to give me away and everything.",entire,"I mean, I knew they were having trouble with this entire thing, but they're my parents. They're supposed to give me away and everything."
big,"And then Susan and I got in this big fight because I said maybe we should call off the wedding, and she said we weren't doing it for them, we were doing it for us, and if I couldn't see that, then maybe we should call off the wedding. I don't know what to do.",large,"And then Susan and I got in this large fight because I said maybe we should call off the wedding, and she said we weren't doing it for them, we were doing it for us, and if I couldn't see that, then maybe we should call off the wedding. I don't know what to do."
fight,"And then Susan and I got in this big fight because I said maybe we should call off the wedding, and she said we weren't doing it for them, we were doing it for us, and if I couldn't see that, then maybe we should call off the wedding. I don't know what to do.",combat,"And then Susan and I got in this big combat because I said maybe we should call off the wedding, and she said we weren't doing it for them, we were doing it for us, and if I couldn't see that, then maybe we should call off the wedding. I don't know what to do."
big,"I know it's kind of weird, but I mean, she was a big part of my life there, you know, and now I just feel kind of alone.",large,"I know it's kind of weird, but I mean, she was a large part of my life there, you know, and now I just feel kind of alone."
large,"Oh, am I! I just danced with a wonderfully large woman. And three other girls made eyes at me over the buffet. Oh, I'm not saying it's something I wanna pursue, but it's nice to know I have options.",big,"Oh, am I! I just danced with a wonderfully big woman. And three other girls made eyes at me over the buffet. Oh, I'm not saying it's something I wanna pursue, but it's nice to know I have options."
right,There you go! That's the spirit I'm looking for! What can we do? Huh? All right who's first? Huh? Ross?,correct,There you go! That's the spirit I'm looking for! What can we do? Huh? All correct who's first? Huh? Ross?
friend,"Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her.",companion,"Well I'm thinking that Chandler's our companion and Janice makes him happy, so I say we just all be adult about it and accept her."
great,Really! That-that great huh?,grand,Really! That-that grand huh?
right,"Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'!  Don't worry, those are the right letters.",correct,"Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'! Don't worry, those are the correct letters."
big,"Ross, I didn't think it would that big of a deal.",large,"Ross, I didn't think it would that large of a deal."
big,"Oh, she didn't think it would be that big of deal.",large,"Oh, she didn't think it would be that large of deal."
close," Relax every muscle in your body. Listen to the plinky-plunky music. Okay, now close you eyes, and think of a happy place. Okay, tell me your happy place.",near,"Relax every muscle in your body. Listen to the plinky-plunky music. Okay, now near you eyes, and think of a happy place. Okay, tell me your happy place."
ask,"Well, okay, fine, use my happy place. Okay, I'm just gonna, I have to ask that you don't move anything.",inquire,"Well, okay, fine, use my happy place. Okay, I'm just gonna, I have to inquire that you don't move anything."
huge,Do you think breaking up with him was a huge mistake?,enormous,Do you think breaking up with him was a enormous mistake?
careful,"I, ah, I never said hate, I was very careful about that.",cautious,"I, ah, I never said hate, I was very cautious about that."
big,And you got a 'hate' from that?! Your taking a big leap there...,large,And you got a 'hate' from that?! Your taking a large leap there...
whole,Does it have to be a whole day?,entire,Does it have to be a entire day?
great,"Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna?",grand,"Rachel says sharing's grand and supposedly, you know, we outta be doing it. Do you wanna?"
whole,"But, hey, look, you know the good thing is, is that we spent the whole day together and I survived, and what's even more amazing, so did she. It was bat day at Shea Stadium.",entire,"But, hey, look, you know the good thing is, is that we spent the entire day together and I survived, and what's even more amazing, so did she. It was bat day at Shea Stadium."
guess,"Well, I guess that's something.",estimate,"Well, I estimate that's something."
guess,"Well, I guess that's something.",speculate,"Well, I speculate that's something."
whole,"No man, that's huge! Now, I know I can stand to be around her, which means I get to hang out with you, which is kinda the whole point, anyway.",entire,"No man, that's huge! Now, I know I can stand to be around her, which means I get to hang out with you, which is kinda the entire point, anyway."
right,"All right they got water, orange juice, and what looks like cider. ",correct,"All correct they got water, orange juice, and what looks like cider."
whole,"Well, you know, I'd feel a whole lot better if you got dressed now.",entire,"Well, you know, I'd feel a entire lot better if you got dressed now."
right,"Uh, huh. Yeah, right after I thank everyone for giving money to the museum, I sing a song about the wonder that is Joey.",correct,"Uh, huh. Yeah, correct after I thank everyone for giving money to the museum, I sing a song about the wonder that is Joey."
lucky,"Ohh, well, you're my lucky penny.",fortunate,"Ohh, well, you're my fortunate penny."
big,"What's the big deal, sit somewhere else.",large,"What's the large deal, sit somewhere else."
big,"The big deal is I was sitting there last, so, that's my seat.",large,"The large deal is I was sitting there last, so, that's my seat."
big,"You guys, you know what, you know what, it doesn't matter, because you both have to go get dressed before the big vain in my head pops. So..",large,"You guys, you know what, you know what, it doesn't matter, because you both have to go get dressed before the large vain in my head pops. So.."
big,"All right, Ross, I just have to do one thing, really quickly, it's not a big deal.  GET UP!!",large,"All right, Ross, I just have to do one thing, really quickly, it's not a large deal. GET UP!!"
right,All right all ready.,correct,All correct all ready.
find,"Ooooh! Honey, well we'll find you something. Do you wanna wear my black jacket? ",locate,"Ooooh! Honey, well we'll locate you something. Do you wanna wear my black jacket?"
find,"No, you're right. Well, we'll find something. Let's just get you out of that. Come on.",locate,"No, you're right. Well, we'll locate something. Let's just get you out of that. Come on."
easy,"Oh, great. It's starting to rain, that will make it easy to get a cab.",simple,"Oh, great. It's starting to rain, that will make it simple to get a cab."
big,"Well, hon-ey. I'm just trying to look nice for your big night.",large,"Well, hon-ey. I'm just trying to look nice for your large night."
fine,"Rachel, didn't have anything that I liked, so, but she had this Christmas ribbon, and I thought, 'All right, fine I'll be political.'",exquisite,"Rachel, didn't have anything that I liked, so, but she had this Christmas ribbon, and I thought, 'All right, exquisite I'll be political.'"
fit,"Yeah, pants, what, what an idea. Or better yet, um, how 'bout you go without any pants. Look, I don't know what you're trying to do to me, but just get your butt in there and pick out any shoes that fit your feet, okay. No, no I don't care if they match. I don't care if they make your ankles or your knees or your earlobes look fat. Okay.",suit,"Yeah, pants, what, what an idea. Or better yet, um, how 'bout you go without any pants. Look, I don't know what you're trying to do to me, but just get your butt in there and pick out any shoes that suit your feet, okay. No, no I don't care if they match. I don't care if they make your ankles or your knees or your earlobes look fat. Okay."
accomplish,"I'm not gonna gooo, so I think that will accomplish the not going.",achieve,"I'm not gonna gooo, so I think that will achieve the not going."
begin,Message erased. To record a message begin speaking at the tone.,commence,Message erased. To record a message commence speaking at the tone.
whole,"Hi, uh, Richard it's Monica, um, listen I did something kind of crazy tonight, um, maybe I'm getting my period or something, I don't know. Um, anyway, I, I, I beeped into your machine and I heard a message that, that freaked me out, and um, you know what Michelle will tell you the rest. I, I, um, I'm sorry, okay, I, I hope that we can forget the whole thing. Okay, bye.",entire,"Hi, uh, Richard it's Monica, um, listen I did something kind of crazy tonight, um, maybe I'm getting my period or something, I don't know. Um, anyway, I, I, I beeped into your machine and I heard a message that, that freaked me out, and um, you know what Michelle will tell you the rest. I, I, um, I'm sorry, okay, I, I hope that we can forget the entire thing. Okay, bye."
buy,"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket.",purchase,"Well, I'm sorry Joe. I didn't think the doctor was gonna purchase that it just *fell* out of the socket."
chance,"One more chance Ursula, please?",opportunity,"One more opportunity Ursula, please?"
hard,"Um, well, get over it. So, I mean you, you just seem to be a really nice guy, you know. Don't be so hard on yourself okay.",difficult,"Um, well, get over it. So, I mean you, you just seem to be a really nice guy, you know. Don't be so difficult on yourself okay."
right,"Okay, this is good, this is good. All right listen, I have one. Janice likes to cuddle, at night, which, you know I'm all for. But, uh, you know when you want to go to sleep, you want some space. So, uh, how do I tell her that without, you know, accidentally calling her fat or something.",correct,"Okay, this is good, this is good. All correct listen, I have one. Janice likes to cuddle, at night, which, you know I'm all for. But, uh, you know when you want to go to sleep, you want some space. So, uh, how do I tell her that without, you know, accidentally calling her fat or something."
right,All right are you guys gonna come down?,correct,All correct are you guys gonna come down?
right,"Uh, yeah, yeah I'll, I'm right behind you.",correct,"Uh, yeah, yeah I'll, I'm correct behind you."
control,"Yeah. The great thing about the jam plan was, I was taking control of my life. So I asked myself, what is the most important thing to me in the world and that's when I came up with the baby plan. ",command,"Yeah. The great thing about the jam plan was, I was taking command of my life. So I asked myself, what is the most important thing to me in the world and that's when I came up with the baby plan."
great,"Yeah. The great thing about the jam plan was, I was taking control of my life. So I asked myself, what is the most important thing to me in the world and that's when I came up with the baby plan. ",grand,"Yeah. The grand thing about the jam plan was, I was taking control of my life. So I asked myself, what is the most important thing to me in the world and that's when I came up with the baby plan."
find,"It took me 28 years to find one man that I wanna spend my life with, if I have to wait another 28 years then, I'll be 56 before I can have a baby, and that's just stupid.",locate,"It took me 28 years to locate one man that I wanna spend my life with, if I have to wait another 28 years then, I'll be 56 before I can have a baby, and that's just stupid."
big,"Okay, all right, how's this? 27. Italian-American guy. He's an actor, born in Queens. Wow, big family, seven sisters, and he's the only....boy.  Oh my God, under personal comments: 'New York Knicks, rule!'",large,"Okay, all right, how's this? 27. Italian-American guy. He's an actor, born in Queens. Wow, large family, seven sisters, and he's the only....boy. Oh my God, under personal comments: 'New York Knicks, rule!'"
right,"Well, right after I did that sex study down at NYU.  Hey, Remember that sweater I gave you for your birthday?",correct,"Well, correct after I did that sex study down at NYU. Hey, Remember that sweater I gave you for your birthday?"
cold,"No, no, it's not your fault. You know it's partly my fault, 'cause I made you quit cold turkey. Sorry, no. Okay, well, I mean, I can't date you anymore, 'cause your, you know  Wow! But um, but I will definitely, definitely help you get over my sister. Okay, stalk me for a while. Huh? Yeah, and, and, and, I'll be like an Ursula patch.",chilly,"No, no, it's not your fault. You know it's partly my fault, 'cause I made you quit chilly turkey. Sorry, no. Okay, well, I mean, I can't date you anymore, 'cause your, you know Wow! But um, but I will definitely, definitely help you get over my sister. Okay, stalk me for a while. Huh? Yeah, and, and, and, I'll be like an Ursula patch."
big,"It's a name, yeah. I saw you, you know, in this great house with a big pool.",large,"It's a name, yeah. I saw you, you know, in this great house with a large pool."
great,"It's a name, yeah. I saw you, you know, in this great house with a big pool.",grand,"It's a name, yeah. I saw you, you know, in this grand house with a big pool."
gift,"Sure you do, it was a gift from me. Oh! And you have these three great kids.",present,"Sure you do, it was a present from me. Oh! And you have these three great kids."
great,"Sure you do, it was a gift from me. Oh! And you have these three great kids.",grand,"Sure you do, it was a gift from me. Oh! And you have these three grand kids."
big,"And, and, and they wear those little water wings, you know. And they're, they're running around on the deck. Then Hoyt wraps this big towel around all three of them.",large,"And, and, and they wear those little water wings, you know. And they're, they're running around on the deck. Then Hoyt wraps this large towel around all three of them."
hard,"Folks, has this ever happened to you. You go to the refrigerator to get a nice glass of milk,  and these darn cartons are so flingin'-flangin' hard to open.",difficult,"Folks, has this ever happened to you. You go to the refrigerator to get a nice glass of milk, and these darn cartons are so flingin'-flangin' difficult to open."
right,You're flingin'-flangin' right I am!,correct,You're flingin'-flangin' correct I am!
enjoy,"Well, I'll tell ya I do enjoy guilt, but, ah, it wasn't me.",relish,"Well, I'll tell ya I do relish guilt, but, ah, it wasn't me."
great,What is the great tragedy here? You go get yourself another appointment.,grand,What is the grand tragedy here? You go get yourself another appointment.
grow,So he's got a doll? So what? Unless you're afraid he's gonna grow up and be in show business.,cultivate,So he's got a doll? So what? Unless you're afraid he's gonna cultivate up and be in show business.
great,"Just do it! Okay, it's Janice and if I get it I'm going to have to see her tonight.  Oh, that's great I'm gonna have to see her tonight.",grand,"Just do it! Okay, it's Janice and if I get it I'm going to have to see her tonight. Oh, that's grand I'm gonna have to see her tonight."
big,What's the big deal? Why don't you wanna see Janice?,large,What's the large deal? Why don't you wanna see Janice?
distant,"Oh, you mean like that guy thing where you act mean and distant until you get us to break up with you.",remote,"Oh, you mean like that guy thing where you act mean and remote until you get us to break up with you."
fear, Where there is no fear of commitment.,dread,Where there is no dread of commitment.
huge,"You were amazing, could you just do me this huge favor, you see there's this one other audition that I really, really want, and Estelle couldn't get me in.",enormous,"You were amazing, could you just do me this enormous favor, you see there's this one other audition that I really, really want, and Estelle couldn't get me in."
right,"Okay, I'll do it, but just these three, right",correct,"Okay, I'll do it, but just these three, correct"
right," I don't think we need to, because you're tripping me out right now! Are you okay?",correct,"I don't think we need to, because you're tripping me out correct now! Are you okay?"
big,"I am, I actually am. I mean this is amazing. My entire life I have feared this place, and now that I'm here it's like what was the big deal. I could probably say 'Let's move in together.' and I'd be okay.",large,"I am, I actually am. I mean this is amazing. My entire life I have feared this place, and now that I'm here it's like what was the large deal. I could probably say 'Let's move in together.' and I'd be okay."
entire,"I am, I actually am. I mean this is amazing. My entire life I have feared this place, and now that I'm here it's like what was the big deal. I could probably say 'Let's move in together.' and I'd be okay.",whole,"I am, I actually am. I mean this is amazing. My whole life I have feared this place, and now that I'm here it's like what was the big deal. I could probably say 'Let's move in together.' and I'd be okay."
scare,It doesn't scare me!,frighten,It doesn't frighten me!
fast,"So, I finally catch up to her and she says this relationship is going to fast and we have to slow down.",quick,"So, I finally catch up to her and she says this relationship is going to quick and we have to slow down."
right,"This is a very critical time right now. If you feel yourself reaching for that phone, then you go shoe shopping, you get your butt in a bubble bath. You want her back you have to start acting aloof.",correct,"This is a very critical time correct now. If you feel yourself reaching for that phone, then you go shoe shopping, you get your butt in a bubble bath. You want her back you have to start acting aloof."
terrible,"But they shouldn't happen, you know what, you're, you're in a terrible, terrible business. Oh God, I don't wanna be the person who makes your face look like that.",awful,"But they shouldn't happen, you know what, you're, you're in a terrible, awful business. Oh God, I don't wanna be the person who makes your face look like that."
right,"Okay, you know, one of two things is happening here. Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet. Or, else you're pretending that you're seeing somebody, which just makes you so pathetic that I could start crying right here in the cereal aisle. So like which of these two guys do you want to be? ",correct,"Okay, you know, one of two things is happening here. Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet. Or, else you're pretending that you're seeing somebody, which just makes you so pathetic that I could start crying correct here in the cereal aisle. So like which of these two guys do you want to be?"
big,"What are you being such a weenie for? So he has a Barbi, big deal. You used to dress up like a woman.",large,"What are you being such a weenie for? So he has a Barbi, large deal. You used to dress up like a woman."
big,"The big hat, the pearls, the little pick handbag.",large,"The large hat, the pearls, the little pick handbag."
right,"No, an entertainment unit, with a mail cubby built right in. Its a one day job, max.",correct,"No, an entertainment unit, with a mail cubby built correct in. Its a one day job, max."
